players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
26,17/07/2019,2,412.90103,0,0.69089,42.54111,12.58223,0,0,421.81
4,17/07/2019,2,326.42664,1.91,0.5734,41.41312,17.20398,0,0,995.29
5,17/07/2019,2,341.03571,0.89,0.60337,33.24175,15.09785,0,0,933.72
27,17/07/2019,2,365.06787,0,0.63271,35.17912,10.62918,0,0,688.21
28,17/07/2019,2,373.21786,8.83,0.74059,36.06227,12.40115,2,2,728.95
29,17/07/2019,2,344.86621,10.5,0.65356,36.6967,14.91745,2,0,578.67
7,17/07/2019,2,355.85342,0,0.67009,41.25038,13.67738,1,4,643.97
6,17/07/2019,2,345.77396,0,0.66563,39.74302,15.51311,0,0,860.15
30,17/07/2019,2,371.89114,0,0.66786,37.19994,12.97475,0,0,929.02
31,17/07/2019,2,276.42227,0,0.57489,23.37349,10.35626,0,0,685.17
39,17/07/2019,2,341.38806,7.8,0.69623,33.30542,11.47559,2,2,871
9,17/07/2019,2,363.58423,5.28,0.59141,41.55444,14.88268,0,0,571.78
11,17/07/2019,2,335.32397,7.58,0.65288,31.59138,10.41095,1,5,835.36
12,17/07/2019,2,328.63257,0,0.65579,38.56432,18.37508,0,0,946.84
33,17/07/2019,2,362.85303,0,0.58729,35.27619,14.09215,0,0,0
35,17/07/2019,2,442.88559,9.5,0.70626,43.57072,10.72742,2,1,681
34,17/07/2019,2,428.71069,0,0.61488,51.73228,12.40219,0,0,704.05
13,17/07/2019,2,344.21191,0,0.58567,30.1564,13.66975,2,1,562.35
14,17/07/2019,2,314.79559,0,0.71237,28.84952,11.7686,0,0,0
15,17/07/2019,2,328.15631,0,0.68464,29.87177,12.5468,0,0,899.31
16,17/07/2019,2,378.29791,0,0.6226,39.25793,10.95416,1,1,689.63
36,17/07/2019,2,405.84958,8.13,0.74551,38.98047,10.91797,1,1,659.61
17,17/07/2019,2,372.14453,6.96,0.67417,38.2222,12.54349,3,3,862.12
19,17/07/2019,2,354.73428,0,0.69303,36.2444,14.65169,0,0,934.09
18,17/07/2019,2,341.89246,0,0.6198,37.44551,16.03816,0,0,749.99
20,17/07/2019,2,298.9375,0,0.61766,32.95986,13.90318,0,0,741.58
37,17/07/2019,2,426.51898,0,0.64697,37.89049,10.8999,2,0,739.57
38,17/07/2019,2,377.06995,0,0.62539,35.03517,13.80777,0,0,636.35
22,17/07/2019,2,325.20895,0,0.62382,35.52356,13.58115,0,0,860.08
23,17/07/2019,2,330.16351,4.31,0.64024,34.63301,15.4826,2,2,638.01
24,20/07/2019,1,380.95654,8.1,0.58887,34.32943,9.92183,0,0,586.09
25,20/07/2019,1,375.66766,13.08,0.65536,36.08409,12.44474,0,0,680.42
1,20/07/2019,1,284.86508,4.35,0.52909,28.13774,13.43077,0,0,657.42
2,20/07/2019,1,331.56107,0,0.61559,35.53255,13.56863,1,2,730.29
3,20/07/2019,1,283.49835,22.57,0.59524,34.02828,14.57095,1,2,663.27
26,20/07/2019,1,451.39053,3.75,0.74841,45.42586,12.11998,0,0,362.13
4,20/07/2019,1,334.25653,2.95,0.65401,41.42265,12.10771,0,0,842.87
5,20/07/2019,1,317.19009,0,0.5752,30.42463,15.11395,0,0,728.99
27,20/07/2019,1,354.49252,0,0.61083,34.98595,11.04669,0,0,539.6
28,20/07/2019,1,333.71979,0,0.5129,28.92888,10.63279,2,0,466.78
29,20/07/2019,1,271.31961,0,0.45342,24.99455,12.05101,0,0,307.11
7,20/07/2019,1,300.76639,0,0.5493,30.73613,11.7749,1,2,414
6,20/07/2019,1,288.88306,4.96,0.52099,31.29462,15.86534,0,0,655.08
30,20/07/2019,1,395.66071,6.93,0.71857,36.92982,12.36887,0,0,862.69
39,20/07/2019,1,297.7251,17.85,0.63314,26.70327,10.43963,1,5,562.88
8,20/07/2019,1,281.80011,11.83,0.61448,25.0299,10.88708,3,1,695.53
9,20/07/2019,1,326.75174,0,0.56073,33.59224,12.91318,0,0,432.46
10,20/07/2019,1,309.31415,0,0.52699,26.46901,11.56481,0,0,789.62
32,20/07/2019,1,333.09286,0,0.59687,35.20489,16.33496,0,0,680.21
11,20/07/2019,1,309.89258,7.08,0.65328,28.64542,11.04095,2,3,666.6
12,20/07/2019,1,287.85498,0,0.61791,33.17958,14.27116,0,0,671.12
